uniprot_id,gene,length,molecular_weight,isoelectric_point,instability_index,aromaticity,gravy,charge_ph7,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,dp_LL,dp_VV,dp_FF,dp_WW,dp_GG,dp_PP,dp_KK,dp_RR,dp_DE,dp_KR,hydrophobic_fraction,positive_fraction,negative_fraction,charge_ratio,polar_fraction,tiny_fraction,cysteine_count,sequence_entropy
tr|A6T4M8|A6T4M8_KLEP7,murE,495,53328.03,5.863,28.946,0.0566,-0.079,-11.267,0.13131,0.01212,0.06263,0.05253,0.0202,0.08889,0.03434,0.03636,0.03434,0.10505,0.02626,0.03636,0.03434,0.04444,0.05859,0.04848,0.04646,0.09091,0.01414,0.02222,0.02024,0.01215,0.0,0.0,0.00202,0.0,0.0,0.00607,0.00202,0.00202,0.3152,0.1273,0.1152,0.0121,0.1758,0.2687,6,4.068
tr|A6T4M7|A6T4M7_KLEP7,ftsI,588,64001.87,9.589,33.227,0.0731,-0.1335,16.406,0.09864,0.0034,0.04422,0.04762,0.02721,0.09014,0.0119,0.05442,0.05102,0.08673,0.02891,0.04422,0.05442,0.03061,0.06973,0.06293,0.05782,0.09014,0.0102,0.03571,0.00511,0.00681,0.0,0.0,0.01193,0.0017,0.00341,0.0017,0.0017,0.0017,0.3333,0.1327,0.0918,0.0408,0.1956,0.2517,2,4.0878
tr|A6T4M9|A6T4M9_KLEP7,murF,452,47524.57,5.529,25.906,0.0465,0.1177,-10.503,0.15708,0.01327,0.04425,0.05752,0.02655,0.08407,0.02212,0.03982,0.03097,0.10841,0.02212,0.04867,0.02876,0.03982,0.04867,0.0531,0.06858,0.08628,0.01106,0.00885,0.0133,0.00887,0.0,0.0,0.0,0.0,0.0,0.0,0.00222,0.0,0.3031,0.1018,0.1018,0.0,0.2102,0.2942,6,3.993
sp|A6T4N0|MRAY_KLEP7,mraY,360,39937.3,9.647,26.486,0.1361,0.8,10.437,0.08611,0.00556,0.025,0.02222,0.06667,0.09722,0.01944,0.075,0.03333,0.13611,0.03611,0.025,0.03889,0.01944,0.04444,0.03611,0.05,0.11389,0.02778,0.04167,0.01393,0.01114,0.00279,0.0,0.00836,0.0,0.0,0.0,0.0,0.00279,0.4972,0.0972,0.0472,0.05,0.1306,0.2194,2,4.0138
tr|A6T4N1|A6T4N1_KLEP7,murD,438,46862.25,5.233,26.128,0.0571,0.0589,-11.66,0.11872,0.01598,0.06164,0.05479,0.0274,0.09589,0.01598,0.03653,0.03881,0.13014,0.02968,0.03653,0.03653,0.03653,0.05251,0.04566,0.05936,0.07763,0.00685,0.02283,0.01144,0.00458,0.00229,0.0,0.00915,0.00229,0.00229,0.0,0.00229,0.00229,0.3311,0.1073,0.1164,-0.0091,0.1781,0.2603,7,4.0411
tr|A6T4N2|A6T4N2_KLEP7,ftsW,424,47208.08,10.107,29.832,0.1179,0.6828,14.311,0.09906,0.00472,0.0283,0.0283,0.07075,0.08255,0.00708,0.07311,0.02594,0.15802,0.05189,0.02123,0.04481,0.0283,0.06604,0.0566,0.03774,0.0684,0.02358,0.02358,0.02128,0.01182,0.00236,0.0,0.00236,0.0,0.0,0.00236,0.00236,0.00236,0.4693,0.0991,0.0566,0.0425,0.1439,0.2382,2,3.9864
sp|A6T4N3|MURG_KLEP7,murG,356,38043.55,9.569,36.126,0.0646,0.0419,6.528,0.14607,0.00281,0.03933,0.04213,0.02809,0.10674,0.02247,0.04494,0.04213,0.08708,0.0309,0.01966,0.05337,0.06742,0.05899,0.03371,0.03933,0.09831,0.02528,0.01124,0.00563,0.0169,0.0,0.0,0.0169,0.0,0.00282,0.0,0.0,0.00563,0.3258,0.1236,0.0815,0.0421,0.1601,0.2865,1,3.9976
sp|A6T4N4|MURC_KLEP7,murC,491,53491.12,5.878,30.366,0.0611,-0.1222,-12.084,0.11813,0.00407,0.06721,0.05499,0.03462,0.0835,0.0387,0.06314,0.02444,0.08554,0.02648,0.0387,0.04684,0.03666,0.07332,0.04073,0.05295,0.0835,0.00204,0.02444,0.00408,0.00612,0.0,0.0,0.00612,0.0,0.0,0.00612,0.00204,0.0,0.3198,0.1365,0.1222,0.0143,0.169,0.2424,2,4.062
sp|A6T4N9|LPXC_KLEP7,lpxC,305,34045.71,5.547,32.135,0.0918,-0.0433,-7.635,0.10164,0.01967,0.08525,0.04918,0.05902,0.0623,0.02295,0.0623,0.04918,0.09508,0.02951,0.04262,0.03934,0.02295,0.0623,0.03607,0.05574,0.07213,0.00656,0.02623,0.00987,0.00329,0.0,0.0,0.00329,0.00329,0.00658,0.00329,0.00658,0.00329,0.3508,0.1344,0.1344,0.0,0.1574,0.2,6,4.1307
sp|A6T4P1|SECA_KLEP7,secA,901,101959.63,5.421,38.948,0.0622,-0.4837,-29.032,0.0899,0.00444,0.06215,0.09989,0.02775,0.06215,0.02553,0.05882,0.05549,0.08546,0.04107,0.03441,0.02997,0.0455,0.07436,0.05105,0.05327,0.06437,0.00777,0.02664,0.00444,0.00778,0.0,0.0,0.00333,0.00111,0.00111,0.00556,0.00778,0.00333,0.3119,0.1554,0.162,-0.0067,0.1842,0.2031,4,4.1138
tr|A6T4Y1|A6T4Y1_KLEP7,lpxD,341,35951.97,5.699,32.732,0.0411,0.149,-5.694,0.1085,0.02053,0.06158,0.03226,0.01173,0.10557,0.0176,0.09971,0.03812,0.05572,0.03812,0.05279,0.03812,0.04692,0.04106,0.05279,0.04985,0.09971,0.0088,0.02053,0.0,0.01471,0.0,0.0,0.00588,0.0,0.0,0.0,0.00294,0.00294,0.3343,0.0968,0.0938,0.0029,0.2023,0.2669,7,4.0599
sp|A6T4Y2|FABZ_KLEP7,fabZ,151,17024.74,6.429,36.912,0.0927,0.0351,-1.627,0.07285,0.01325,0.03974,0.09272,0.07285,0.07947,0.02649,0.04636,0.05298,0.10596,0.03974,0.01325,0.0596,0.01987,0.07285,0.01987,0.0596,0.09272,0.0,0.01987,0.01333,0.01333,0.00667,0.0,0.0,0.0,0.0,0.00667,0.00667,0.00667,0.3775,0.1523,0.1325,0.0199,0.1126,0.1722,2,4.0213
