uniprot_id,gene,length,molecular_weight,isoelectric_point,instability_index,hydrophobic_fraction,druggability_score,rank,priority
tr|A6T4M7|A6T4M7_KLEP7,ftsI,588,64001.87,9.589,33.227,0.3333,0.8347,1,Priority 1 (high)
tr|A6TAI2|A6TAI2_KLEP7,pheT,795,86962.35,5.058,34.617,0.3333,0.8064,2,Priority 1 (high)
sp|A6TBK7|SYM_KLEP7,metG,677,76151.72,5.319,33.489,0.3353,0.8019,3,Priority 1 (high)
tr|A6T7Z6|A6T7Z6_KLEP7,fabI,262,27910.75,5.433,22.422,0.3397,0.8017,4,Priority 1 (high)
sp|A6TGP1|RPOC_KLEP7,rpoC,1407,155260.44,6.465,38.147,0.322,0.7995,5,Priority 1 (high)
tr|A6TAZ4|A6TAZ4_KLEP7,ftsI,582,63366.92,6.506,41.213,0.3385,0.7903,6,Priority 1 (high)
sp|A6TEW6|RS3_KLEP7,rpsC,232,25838.74,10.295,26.96,0.306,0.7864,7,Priority 1 (high)
sp|A6TEK8|MURA_KLEP7,murA,419,44584.74,5.613,29.013,0.3198,0.7841,8,Priority 1 (high)
sp|A6T4N4|MURC_KLEP7,murC,491,53491.12,5.878,30.366,0.3198,0.7796,9,Priority 1 (high)
tr|A6TBT6|A6TBT6_KLEP7,gyrA,877,97031.05,4.976,34.151,0.3284,0.766,10,Priority 1 (high)
tr|A6TG01|A6TG01_KLEP7,gyrB,804,90086.1,5.736,37.376,0.3122,0.7581,11,Priority 1 (high)
sp|A6TCI0|ERA_KLEP7,era,301,33882.67,6.474,35.294,0.3522,0.7564,12,Priority 1 (high)
tr|A6TH28|A6TH28_KLEP7,groEL,318,35284.61,5.018,36.889,0.3491,0.7519,13,Priority 1 (high)
sp|A6TEU9|RS4_KLEP7,rpsD,206,23501.86,10.052,28.203,0.301,0.7515,14,Priority 1 (high)
sp|A6T4P1|SECA_KLEP7,secA,901,101959.63,5.421,38.948,0.3119,0.7466,15,Priority 2 (medium)
tr|A6T703|A6T703_KLEP7,rpsA,557,61176.34,4.896,26.92,0.3232,0.7462,16,Priority 2 (medium)
sp|A6T4Y3|LPXA_KLEP7,lpxA,262,28095.71,6.45,29.858,0.3244,0.7441,17,Priority 2 (medium)
sp|A6T7F1|FABH_KLEP7,fabH,317,33421.66,4.932,23.312,0.3218,0.7436,18,Priority 2 (medium)
tr|A6TE19|A6TE19_KLEP7,parE,631,70074.81,5.437,40.5,0.3217,0.7426,19,Priority 2 (medium)
