uniprot_id,gene_name,length,entry_type,description,is_essential
tr|A6T5J6|A6T5J6_KLEP7,tesB,287,unreviewed (tr),tr|A6T5J6|A6T5J6_KLEP7 Acyl-CoA thioesterase 2 OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
tr|A6T5Q2|A6T5Q2_KLEP7,tesA,197,unreviewed (tr),tr|A6T5Q2|A6T5Q2_KLEP7 Thioesterase 1/protease 1/lysophospholipase L1 OS=Klebsiella pneumoniae subsp,False
sp|A6T7D6|PYRC_KLEP7,pyrC,348,reviewed (sp),sp|A6T7D6|PYRC_KLEP7 Dihydroorotase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 /,False
sp|A6T923|HPXO_KLEP7,hpxO,384,reviewed (sp),sp|A6T923|HPXO_KLEP7 FAD-dependent urate hydroxylase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
sp|A6TB83|MTFA_KLEP7,mtfA,265,reviewed (sp),sp|A6TB83|MTFA_KLEP7 Mlc titration factor A OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,False
sp|A6TD45|CYSG1_KLEP7,cysG1,471,reviewed (sp),sp|A6TD45|CYSG1_KLEP7 Siroheme synthase 1 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
sp|A6TF07|CYSG2_KLEP7,cysG2,457,reviewed (sp),sp|A6TF07|CYSG2_KLEP7 Siroheme synthase 2 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
sp|A6TGC5|PRIA_KLEP7,priA,731,reviewed (sp),sp|A6TGC5|PRIA_KLEP7 Replication restart protein PriA OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
sp|A6TGM4|FADB_KLEP7,fadB,729,reviewed (sp),sp|A6TGM4|FADB_KLEP7 Fatty acid oxidation complex subunit alpha OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T4E2|A6T4E2_KLEP7,thrA,820,unreviewed (tr),tr|A6T4E2|A6T4E2_KLEP7 Bifunctional aspartokinase/homoserine dehydrogenase OS=Klebsiella pneumoniae ,False
tr|A6T4I0|A6T4I0_KLEP7,carB,1074,unreviewed (tr),tr|A6T4I0|A6T4I0_KLEP7 Carbamoyl phosphate synthase large chain OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T4M8|A6T4M8_KLEP7,murE,495,unreviewed (tr),"tr|A6T4M8|A6T4M8_KLEP7 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Kleb",True
tr|A6T4V3|A6T4V3_KLEP7,mrcB,854,unreviewed (tr),tr|A6T4V3|A6T4V3_KLEP7 Penicillin-binding protein 1B OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
