gene,druggability_score,priority,mean_plddt,pct_confident,plddt_status,best_pocket_score,n_pockets,center_x,center_y,center_z,ligand,best_affinity,ref_affinity,delta_vs_ref,final_score,final_rank
gyrB,0.7581,Priority 1 (high),88.89,95.5,high,34.12,15.0,7.3354,23.9796,-3.9502,novobiocin,-2.42,-9.2,6.78,0.7911,1
murA,0.7841,Priority 1 (high),96.82,99.8,very_high,43.72,3.0,-1.854,4.8829,1.1491,fosfomycin,-4.42,-5.8,1.38,0.7642,2
murC,0.7796,Priority 1 (high),92.65,95.3,very_high,62.75,8.0,0.0106,1.0787,-3.3135,UNAM-1,-7.8,-6.2,-1.6,0.6803,3
metG,0.8019,Priority 1 (high),93.46,97.9,very_high,35.27,5.0,7.4065,-3.4903,-4.5624,REP3123,-7.36,-8.5,1.14,0.5986,4
groEL,0.7519,Priority 1 (high),94.8,98.7,very_high,42.26,6.0,1.0798,1.6342,0.1879,,,,,0.5835,5
gyrA,0.766,Priority 1 (high),87.45,89.6,high,19.0,12.0,9.0285,2.6733,1.2377,ciprofloxacin,-5.95,-7.4,1.45,0.5736,6
pheT,0.8064,Priority 1 (high),94.49,99.7,very_high,24.13,10.0,15.2519,4.0532,-23.728,,,,,0.527,7
rpsC,0.7864,Priority 1 (high),89.67,90.9,high,13.27,2.0,0.5515,-0.4802,-6.2798,tetracycline,-8.05,-5.9,-2.15,0.4681,8
secA,0.7466,Priority 2 (medium),87.6,92.5,high,14.59,15.0,9.6953,-15.4083,-10.0058,,,,,0.4573,9
era,0.7564,Priority 1 (high),91.4,95.7,very_high,10.09,6.0,0.2596,-5.1789,4.499,,,,,0.4499,10
rpsD,0.7515,Priority 1 (high),93.47,99.5,very_high,6.2,2.0,1.5504,7.4361,-2.7572,,,,,0.4371,11
ftsI,0.8347,Priority 1 (high),,,,,,,,,,,,,0.4284,12
fabI,0.8017,Priority 1 (high),,,,,,,,,,,,,0.4185,13
rpoC,0.7995,Priority 1 (high),,,,,,,,,,,,,0.4178,14
rpsA,0.7462,Priority 2 (medium),,,,,,,,,,,,,0.4019,15
lpxA,0.7441,Priority 2 (medium),,,,,,,,,,,,,0.4012,16
